0	nan	-inf
10	nan	-inf
20	nan	-inf
30	nan	-inf
40	nan	-inf
50	nan	-inf
60	nan	-inf
70	nan	-inf
80	nan	-inf
90	nan	-inf
100	nan	-inf
110	nan	-inf
120	nan	-inf
130	nan	-inf
140	nan	-inf
150	nan	-inf
160	nan	-inf
170	nan	-inf
180	nan	-inf
190	nan	-inf
200	nan	-inf
210	nan	-inf
220	nan	-inf
230	nan	-inf
240	nan	-inf
250	nan	-inf
260	nan	-inf
270	nan	-inf
280	nan	-inf
290	nan	-inf
300	nan	-inf
310	nan	-inf
320	nan	-inf
330	nan	-inf
340	nan	-inf
350	nan	-inf
360	nan	-inf
370	nan	-inf
380	nan	-inf
390	nan	-inf
400	nan	-inf
410	nan	-inf
420	nan	-inf
430	nan	-inf
440	nan	-inf
450	nan	-inf
460	nan	-inf
470	nan	-inf
480	nan	-inf
490	nan	-inf
500	nan	-inf
